tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-04-23,51.0,22.0,30.0,84.0,16.0,84.0,O3,SEDANG,DKI5
2018-04-24,61.0,23.0,33.0,90.0,34.0,90.0,O3,SEDANG,DKI5
2018-04-25,69.0,23.0,37.0,48.0,18.0,69.0,PM10,SEDANG,DKI1
2018-04-26,71.0,30.0,34.0,56.0,25.0,71.0,PM10,SEDANG,DKI1
2018-04-27,62.0,23.0,22.0,48.0,16.0,62.0,PM10,SEDANG,DKI2
2018-04-28,57.0,25.0,23.0,96.0,16.0,96.0,O3,SEDANG,DKI5
2018-04-29,67.0,23.0,26.0,120.0,18.0,120.0,O3,TIDAK SEHAT,DKI5
2018-04-30,78.0,24.0,29.0,89.0,22.0,89.0,O3,SEDANG,DKI4
2018-05-01,73.0,25.0,19.0,101.0,18.0,101.0,O3,TIDAK SEHAT,DKI5
2018-05-02,88.0,25.0,22.0,183.0,18.0,183.0,O3,TIDAK SEHAT,DKI5
2018-05-03,103.0,27.0,23.0,166.0,20.0,166.0,O3,TIDAK SEHAT,DKI5
2018-05-04,91.0,27.0,46.0,164.0,23.0,164.0,O3,TIDAK SEHAT,DKI5
2018-05-05,78.0,26.0,27.0,137.0,17.0,137.0,O3,TIDAK SEHAT,DKI5
2018-05-06,70.0,26.0,17.0,109.0,15.0,109.0,O3,TIDAK SEHAT,DKI5
2018-05-07,68.0,27.0,17.0,77.0,16.0,77.0,O3,SEDANG,DKI5
2018-05-08,79.0,26.0,21.0,204.0,17.0,204.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-05-09,93.0,27.0,21.0,156.0,20.0,156.0,O3,TIDAK SEHAT,DKI5
2018-05-10,73.0,25.0,18.0,107.0,15.0,107.0,O3,TIDAK SEHAT,DKI5
2018-05-11,74.0,27.0,16.0,83.0,18.0,83.0,O3,SEDANG,DKI5
2018-05-12,103.0,27.0,29.0,144.0,21.0,144.0,O3,TIDAK SEHAT,DKI5
2018-05-13,96.0,26.0,26.0,131.0,14.0,131.0,O3,TIDAK SEHAT,DKI5
2018-05-14,87.0,26.0,20.0,178.0,13.0,178.0,O3,TIDAK SEHAT,DKI5
2018-05-15,94.0,27.0,25.0,143.0,17.0,143.0,O3,TIDAK SEHAT,DKI5
2018-05-16,87.0,28.0,23.0,151.0,16.0,151.0,O3,TIDAK SEHAT,DKI5
2018-05-17,65.0,25.0,19.0,80.0,16.0,80.0,O3,SEDANG,DKI3
2018-05-18,78.0,26.0,26.0,86.0,11.0,86.0,O3,SEDANG,DKI5
2018-05-19,59.0,24.0,13.0,102.0,10.0,102.0,O3,TIDAK SEHAT,DKI5
2018-05-20,61.0,25.0,29.0,98.0,12.0,98.0,O3,SEDANG,DKI5
2018-05-21,60.0,25.0,20.0,185.0,16.0,185.0,O3,TIDAK SEHAT,DKI5
2018-05-22,58.0,25.0,14.0,80.0,10.0,80.0,O3,SEDANG,DKI5
2018-05-23,58.0,26.0,12.0,74.0,12.0,74.0,O3,SEDANG,DKI5
2018-05-24,42.0,25.0,12.0,94.0,10.0,94.0,O3,SEDANG,DKI5
2018-05-25,66.0,26.0,22.0,92.0,11.0,92.0,O3,SEDANG,DKI5
2018-05-26,71.0,29.0,24.0,119.0,13.0,119.0,O3,TIDAK SEHAT,DKI5
2018-05-27,62.0,26.0,23.0,156.0,10.0,156.0,O3,TIDAK SEHAT,DKI5
2018-05-28,81.0,24.0,55.0,120.0,33.0,120.0,O3,TIDAK SEHAT,DKI2
